id,en,el,nl,fr,de,es,it,pt,tr,bg,ru,hi,ja
admin.global.country,Country,Χώρα,Land,Pays,Land,País,Nazione,País,Ülke,Страна,Страна,देश,国
admin.global.timezone,Time zone,Ζώνη ώρας,Tijdzone,Fuseau horaire,Zeitzone,Zona horaria,Fuso orario,Fuso horário,Saat dilimi,Часова зона,Часовой пояс,समय क्षेत्र,タイムゾーン
admin.global.pleaseSelect,Please select ...,Παρακαλώ επίλεξε ...,Selecteer alstublieft ...,Veuillez sélectionner ...,Bitte auswählen ...,Por favor seleccione ...,Seleziona ...,Por favor selecione ...,Lütfen seçin ...,Моля изберете ...,Пожалуйста выберите ...,कृपया चुने ...,選んでください ...
admin.global.address,Address,Διεύθυνση,Adres,Adresse,Adresse,Habla a,Indirizzo,Endereço,Adres,Адрес,Адрес,पता,住所
admin.global.addressLine1,Address Line 1,Διεύθυνση 1,Adres regel 1,Adresse 1,Anschrift Zeile 1,Dirección Línea 1,Indirizzo Linea 1,Endereço Linha 1,Adres satırı 1,Адрес 1,Адресная строка 1,पता पंक्ति 1,住所1
admin.global.addressLine2,Address Line 2,Διεύθυνση 2,Adres lijn 2,Adresse Ligne 2,Adresszeile 2,Dirección Línea 2,indirizzo 2,Endereço linha 2,Adres Satırı 2,Адрес 2,Адресная строка 2,पता पंक्ति नं। 2,住所2
admin.global.price,Price,Τιμή,Prijs,Prix,Preis,Precio,Prezzo,Preço,Fiyat,Цена,Цена,कीमत,価格
admin.global.postCode,Post Code,Ταχυδρομικός κώδικας,Postcode,Code postal,Postleitzahl,Código postal,CAP,Código postal,Posta Kodu,Пощенски код,Почтовый индекс,पोस्ट कोड,郵便番号
admin.global.postCodePattern,Invaild - Use only alphanumeric,Μη έγκυρο – Χρησιμοποίησε μόνο αλφαριθμητικό,Ongeldig - Gebruik alleen alfanumeriek,Invailde - Utilisez uniquement des caractères alphanumériques,Invaild - Verwenden Sie nur alphanumerische Zeichen,Invadir: use solo alfanuméricos,Invaild - Usa solo caratteri alfanumerici,Invaild - Use apenas alfanuméricos,Geçersiz - Yalnızca geçerli karakterler kullanın,Invaild - Използвайте само буквено-цифрови,Invaild - использовать только буквенно-цифровые,Invaild - केवल अल्फ़ान्यूमेरिक का उपयोग करें,Invaild-英数字のみを使用してください
admin.global.change,Change,Αλλαγή,Aaanpassen,Changement,Veränderung,Cambio,Modificare,mudança,Değiştir,Промяна,изменить,परिवर्तन,変更
admin.global.update,Update,Ενημέρωση,Bijwerken,Actualiser,Aktualisieren,Actualizar,Aggiornare,Atualizar,Güncelle,Актуализация,Обновить,अपडेट करें,更新
admin.global.password,Password,Κωδικός πρόσβασης,Wachtwoord,Mot de passe,Passwort,Contraseña,Parola d'ordine,Senha,Parola,Парола,пароль,कुंजिका,パスワード
admin.global.sentenceText,and the,και το,En de,et le,und der,y el,e il,e a,Ve,и на,и,और यह,そして
admin.global.anyOption,Any number of options can be selected,Μπορούν να γίνουν πολλές επιλογές,Er kan een onbeperkt aantal opties worden geselecteerd,N'importe quel nombre d'options peut être sélectionné,Es können beliebig viele Optionen ausgewählt werden,Se puede seleccionar cualquier cantidad de opciones,È possibile selezionare un numero qualsiasi di opzioni,Qualquer número de opções pode ser selecionado,İstenilen sayıda seçenek seçilebilir,Може да бъде избран произволен брой опции,Можно выбрать любое количество опций,किसी भी विकल्प का चयन किया जा सकता है,複数選択可
admin.global.exactOneOption,Exactly one option must be selected,Πρέπει να γίνει ακριβώς μια επιλογή,Er moet precies één optie worden geselecteerd,Une seule option doit être sélectionnée,Es muss genau eine Optionen ausgewählt werden,Se debe seleccionar exactamente una opción,È necessario selezionare esattamente un'opzione,Exatamente uma opção deve ser selecionada,Tam olarak bir seçenek seçilmelidir,Точно една опция трябва да бъде избрана,Точно один вариант должен быть выбран,बिल्कुल एक विकल्प चुनना होगा,1つだけオプションをご選択ください
admin.global.partnerProgram.label,Partner Program,Πρόγραμμα συνεργατών,Partnerprogramma,Programme partenaire,Partnerprogramm,Programa de socios,Programma partner,Programa de parceria,Ortaklık Programı,Партньорска програма,Партнерская программа,साथी कार्यक्रम,パートナープログラム
admin.global.partnerProgram.vouchers,Vouchers,Κουπόνια,Kortingsbonnen,Bons de réduction,Gutscheine,Vales,Buoni,Vouchers,Kuponlar,Ваучери,Ваучеры,वाउचर,バウチャー
admin.global.voucher.label,Voucher Code,Κωδικός κουπονιού,Voucher code,Code du bon,Coupon Code,Código de cupón,Codice promozionale,Código do voucher,Kupon Kodu,Код на ваучера,Код ваучера,वाउचर कोड,バウチャーコード
admin.global.subscription.label,Subscriptions,Συνδρομές,Abonnementen,Abonnements,Abonnements,Suscripciones,Abbonamenti,Assinaturas,Abonelikler,Абонаменти,Подписки,सदस्यता,有料プラン契約状況
admin.global.subscription.status,Subscription Status,Κατάσταση συνδρομής,Abonnementsstatus,Statut de l'abonnement,Abonnementstatus,Estado de suscripción,Stato dell'iscrizione,Status de inscrição,Abonelik durumu,Състояние на абонамента,Статус подписки,सदस्यता स्थिति,有料プラン契約状態
admin.global.subscription.endDate,Subscription End date,Ημερομηνία λήξης συνδρομής,Einddatum van het abonnement,Date de fin d'abonnement,Abonnement Enddatum,Fecha de finalización de suscripción,Data di fine dell'iscrizione,Data de término da assinatura,Abonelik Bitiş tarihi,Крайна дата на абонамента,Дата окончания подписки,सदस्यता समाप्ति तिथि,有料プラン終了日
admin.global.subscription.purchase,Purchase Subscription,Αγορά συνδρομής,Abonnement kopen,Acheter un abonnement,Abonnement kaufen,Comprar suscripción,Acquista abbonamento,Assinatura de compra,Abonelik Satın Al,Закупете абонамент,Подписка на покупку,खरीद सदस्यता,有料プランのお申込み
admin.global.subscription.checkout.stripe,Pay with Credit Card,Πληρωμή με πιστωτική κάρτα,Betaal met credit card,Payez avec une carte de crédit,Mit Kreditkarte bezahlen,Paga con tarjeta de crédito,Pagare con la carta di credito,Pague com cartão de crédito,Kredi kartıyla öde,Плащане с кредитна карта,Оплатить с помощью кредитной карты,क्रेडिट कार्ड से भुगतान करें,クレジットカードで支払う
admin.global.subscription.checkout.paypal,Pay with Paypal,Πληρωμή με Paypal,Betaal met PayPal,Payer avec PayPal,Zahlen Sie mit PayPal,Pagar con PayPal,Paga con Paypal,Pague com Paypal,PayPal ile öde,Плащане с Paypal,Оплата с PayPal,पेपैल के साथ भुगतान करें,Paypalで支払う
admin.global.subscription.price.label,Subscription Price,Τιμή συνδρομής,Abonnements prijs,Prix ​​de l'abonnement,Einschreibegebühr,Precio de suscripción,Prezzo di abbonamento,Preço de Assinatura,Abonelik ücreti,Цена на абонамент,Стоимость подписки,सदस्यता कीमत,有料プラン価格
admin.global.subscription.vat.label,VAT,ΦΠΑ,BTW,TVA,MwSt,IVA,I.V.A.,CUBA,KDV,ДДС,НДС,वैट,消費税
admin.global.subscription.vatNumber.label,VAT Number,Αριθμός ΑΦΜ,Btw-nummer,Numéro de TVA,Umsatzsteuer-Identifikationsnummer,Número de valor agregado,Partita IVA,Número de IVA,KDV Numarası,ДДС номер,Номер НДС,वैट क्रमांक,VAT番号
admin.global.subscription.totalPrice.label,Total Price,Συνολικό ποσό,Totale prijs,Prix ​​total,Gesamtpreis,Precio total,Prezzo totale,Preço total,Toplam fiyat,Обща цена,Итоговая цена,कुल कीमत,合計金額
admin.global.subscription.billingDetails.label,Billing Details,Λεπτομέρειες Χρέωσης,Factureringsgegevens,Détails de la facturation,Rechnungsdetails,Detalles de facturación,Dettagli di fatturazione,Detalhes de cobrança,Fatura Detayları,Данни за фактура,Платежные реквизиты,बिलिंग विवरण,領収書宛先設定
admin.global.subscription.continue,Continue,Συνέχεια,Doorgaan,Continuer,Fortsetzen,Seguir,Continua,Continuar,Devam et,Продължи,Продолжить,जारी रखें,続ける
admin.global.validate.amountNumbers,Amount should only have number digits,Το ποσό πρέπει να έχει μόνο αριθμητικά ψηφία,Bedrag mag alleen cijfers bevatten,Le montant ne doit contenir que des chiffres,Der Betrag sollte nur aus Ziffern bestehen,La cantidad solo debe tener dígitos numéricos,L'importo deve contenere solo cifre numeriche,O valor deve ter apenas dígitos numéricos,Tutarda yalnızca rakam olmalıdır,Сумата трябва да има само цифри с цифри,Сумма должна содержать только цифры,राशि में केवल संख्या अंक होने चाहिए,金額は半角数字にてご入力ください
admin.global.subscription.vat.invalid,VAT number is not valid,Το ΑΦΜ δεν είναι έγκυρο,BTW-nummer is niet geldig,Le numéro de TVA n'est pas valide,Die Umsatzsteuer-Identifikationsnummer ist ungültig,El número de IVA no es válido,Il numero di partita IVA non è valido,O número do IVA não é válido,KDV numarası geçerli değil,ДДС номерът не е валиден,Номер НДС недействителен,वैट नंबर मान्य नहीं है,VAT番号が無効です
admin.global.subscription.vat.valid,VAT number is valid,Το ΑΦΜ είναι έγκυρο,BTW-nummer is geldig,Le numéro de TVA est valide,Die Umsatzsteuer-Identifikationsnummer ist gültig,El número de IVA es válido,Il numero di partita IVA è valido,O número do IVA é válido,KDV numarası geçerlidir,ДДС номерът е валиден,Номер НДС действителен,वैट नंबर मान्य है,VAT番号は有効です
admin.global.subscription.discountVoucher.patternInvalid,Discount voucher must match pattern 'XXXX-XXXX',"Το κουπόνι έκπτωσης πρέπει να είναι του τύπου ""XXXX-XXXX""",Kortingsbon moet overeenkomen met patroon 'XXXX-XXXX',Le bon de réduction doit correspondre au format «XXXX-XXXX»,Der Rabattgutschein muss mit dem Muster 'XXXX-XXXX' übereinstimmen.,El cupón de descuento debe coincidir con el patrón 'XXXX-XXXX',Il buono sconto deve corrispondere al modello 'XXXX-XXXX',O voucher de desconto deve corresponder ao padrão 'XXXX-XXXX',İndirim kuponu 'XXXX-XXXX' modeliyle eşleşmelidir,Ваучерът за отстъпка трябва да съответства на образеца „XXXX-XXXX“,Ваучер на скидку должен соответствовать шаблону 'XXXX-XXXX',डिस्काउंट वाउचर को 'XXXX-XXXX' पैटर्न से मेल खाना चाहिए,割引クーポンはパターン「XXXX-XXXX」と一致する必要があります
admin.global.subscription.discountVoucher.invalid,Voucher is not valid,Το κουπόνι δεν είναι έγκυρο,Kortingsbon is niet geldig,Le bon n'est pas valide,Gutschein ist ungültig,El cupón no es válido.,Il buono non è valido,O voucher não é válido,Kupon geçerli değil,Ваучерът не е валиден,Ваучер не действителен,वाउचर मान्य नहीं है,クーポンは無効です
admin.global.subscription.discountVoucher.alreadyReserved,The voucher is already reserved and cannot be used,Το κουπόνι είναι ήδη δεσμευμένο και δεν μπορεί να χρησιμοποιηθεί,De kortingsbon is al gereserveerd en kan niet worden gebruikt,Le bon est déjà réservé et ne peut pas être utilisé,Der Gutschein ist bereits reserviert und kann nicht verwendet werden,El cupón ya está reservado y no se puede utilizar.,Il voucher è già prenotato e non può essere utilizzato,O voucher já está reservado e não pode ser usado,Kupon zaten verilmiş ve kullanılamaz,Ваучерът вече е резервиран и не може да бъде използван,Ваучер уже зарезервирован и не может быть использован,वाउचर पहले से ही आरक्षित है और इसका उपयोग नहीं किया जा सकता है,このクーポン番号はすでに予約されており、使用できません
admin.global.subscription.discountVoucher.valid,Voucher is valid,Το κουπόνι είναι έγκυρο,Kortingsbon is geldig,Le bon est valide,Gutschein ist gültig,Vale es valido,Il buono è valido,O voucher é válido,Kupon geçerlidir,Ваучерът е валиден,Ваучер действителен,वाउचर मान्य है,クーポンは有効です
admin.global.subscription.vatamount.label,VAT amount charged,Χρέωση ΦΠΑ,BTW-bedrag,Montant de la TVA facturé,Mehrwertsteuerbetrag berechnet,Cantidad de IVA cobrada,Importo IVA addebitato,Valor do IVA cobrado,Alınan KDV tutarı,Начислена сума по ДДС,Сумма НДС взимается,वैट की राशि वसूल की गई,消費税額
admin.global.subscription.pricewithvat.label,Price with VAT,Τιμή με ΦΠΑ,Prijs met BTW,Prix TVA compris,Preis mit MwSt,Precio con IVA,Prezzo con IVA,Preço com IVA,KDV dahil fiyat,Цена с ДДС,Цена с НДС,वैट के साथ मूल्य,税込価格
admin.global.subscription.vatnotcharged.label,VAT charge excluded,Τιμή Χωρίς ΦΠΑ,Exclusief BTW,Hors TVA,Mehrwertsteuer ausgeschlossen,IVA excluido,IVA esclusa,Taxa de IVA excluída,KDV ücreti hariç,Без ДДС такса,Без НДС,वैट चार्ज को बाहर रखा गया है,消費税別
admin.global.subscription.invoiceLabel,Invoices,Τιμολόγια,Facturen,Factures d'achat,Rechnungen,Facturas de compra,Acquista fatture,Faturas de compra,Satın Alma Faturaları,Фактури за покупка,Счета на покупку,खरीद चालान,領収書発行
admin.global.paymentDetails,Payment Details,Λεπτομέρειες πληρωμής,Betalingsdetails,Détails de paiement,Zahlungsdetails,Detalles del pago,Dettagli di pagamento,Detalhes do pagamento,Ödeme detayları,Подробности за плащане,Детали платежа,भुगतान विवरण,支払詳細
admin.global.termsPoliciesMsg,I accept the,Δέχομαι,Ik accepteer de,J'accepte le,Ich akzeptiere das,acepto el,accetto il,Eu aceito o,Kabul ediyorum,Приемам,я принимаю,मैं स्वीकारता हूँ,合意します
admin.global.termsOfUse,Terms of Use,Όροι χρήσης,Gebruiksvoorwaarden,Conditions d'utilisation,Nutzungsbedingungen,Términos de Uso,Condizioni d'uso,Termos de uso,Kullanım Şartları,Условия за ползване,Условия эксплуатации,उपयोग की शर्तें,利用規約
admin.global.privacyPolicy,Privacy Policy,Πολιτική Απορρήτου,Privacybeleid,Politique de confidentialité,Datenschutz-Bestimmungen,Política de privacidad,politica sulla riservatezza,Política de Privacidade,Gizlilik Politikası,Политика за поверителност,политика конфиденциальности,गोपनीयता नीति,個人情報保護方針
admin.alerts.headerError,Error!,Λάθος!,Fout!,Erreur!,Error!,¡Error!,Errore!,Erro!,Hata!,Грешка!,Ошибка!,त्रुटि!,エラー！
admin.alerts.errorOccured,An error occured,Προέκυψε ένα σφάλμα,Er is een fout opgetreden,Une erreur s'est produite,Es ist ein Fehler aufgetreten,Ocurrió un error,Si è verificato un errore,Um erro ocorreu,Bir hata oluştu,Възникна грешка,Произошла ошибка,एक त्रुटि हुई,エラーが発生しました。再試行してください
admin.global.phoneNumber,Phone Number,Τηλέφωνο,Telefoonnummer,Numéro de téléphone,Telefonnummer,Número de teléfono,Numero di telefono,Número de telefone,Telefon numarası,Телефонен номер,Номер телефона,फ़ोन नंबर,電話番号
admin.alerts.headerSuccess,Success!,Επιτυχία!,Succes!,Succès!,Erfolg!,¡Éxito!,Successo!,Sucesso!,Başarılı!,Успех!,Успех!,सफलता!,成功しました
admin.alerts.invalidCredentials,Invalid credentials supplied.,Οι κωδικοί πρόσβασης δεν είναι έγκυροι,Ongeldige inloggegevens opgegeven.,Informations d'identification non valides fournies.,Ungültige Anmeldeinformationen angegeben.,Credenciales no válidas suministradas.,Credenziali fornite non valide.,Credenciais inválidas fornecidas.,Geçersiz kimlik bilgileri sağlandı.,Невалидни предоставени идентификационни данни,Предоставлены неверные учетные данные.,अमान्य क्रेडेंशियल्स की आपूर्ति की गई।,認証情報は無効です
admin.alerts.accountActivated,Your account is now activated. Login below to continue.,Ο λογαριασμός σου έχει ενεργοποιηθεί. Συνδέσου παρακάτω για συνέχεια.,Je account is nu geactiveerd. Log hieronder in om door te gaan.,Votre compte est maintenant activé. Connectez-vous ci-dessous pour continuer.,"Ihr Konto ist jetzt aktiviert. Melden Sie sich unten an, um fortzufahren.",Su cuenta ahora está activada. Inicie sesión a continuación para continuar.,Il tuo account è ora attivato. Accedi di seguito per continuare.,Sua conta agora está ativada. Faça o login abaixo para continuar.,Hesabınız şimdi etkinleştirildi. Devam etmek için aşağıdan giriş yapın.,"Вашият акаунт вече е активиран. Впишете се, за да продължите.","Ваша учетная запись активирована. Войдите ниже, чтобы продолжить.",अब आपका खाता सक्रिय हो गया है। जारी रखने के लिए नीचे लॉग इन करें।,アカウントが有効になりました。 続行するには、以下からログインしてください。
admin.alerts.passwordChanged,Your password has changed. Login below to continue.,Ο κωδικός πρόσβασης έχει αλλάξει. Συνδέσου παρακάτω για να συνεχίσεις.,Je wachtwoord is veranderd. Log hieronder in om door te gaan.,Votre mot de passe a changé. Connectez-vous ci-dessous pour continuer.,"Ihr Passwort hat sich geändert. Melden Sie sich unten an, um fortzufahren.",Tu contraseña ha cambiado. Inicie sesión a continuación para continuar.,La tua password è cambiata Accedi di seguito per continuare.,Sua senha foi alterada. Faça o login abaixo para continuar.,Şifreniz değişti. Devam etmek için aşağıdan giriş yapın.,"Вашата парола е променена. Влезте по-долу, за да продължите.","Ваш пароль изменился. Войдите ниже, чтобы продолжить.",आपका पासवर्ड बदल गया है। जारी रखने के लिए नीचे लॉग इन करें।,パスワードが変更されました。 続行するには、以下からログインしてください。
admin.alerts.emailChanged,Your email has changed. Login below to continue.,Το ηλεκτρονικό σου ταχυδρομείο έχει αλλάξει. Συνδέσου παρακάτω για να συνεχίσεις.,Je e-mailadres is gewijzigd. Log hieronder in om door te gaan.,Votre email a changé. Connectez-vous ci-dessous pour continuer.,"Ihre E-Mail hat sich geändert. Melden Sie sich unten an, um fortzufahren.",Tu email ha cambiado. Inicie sesión a continuación para continuar.,La tua email è cambiata Accedi di seguito per continuare.,O seu email foi alterado. Faça o login abaixo para continuar.,E-postanız değişti. Devam etmek için aşağıdan giriş yapın.,"Вашият имейл е променен. Влезте по-долу, за да продължите.","Ваш электронный адрес изменился. Войдите ниже, чтобы продолжить.",आपका ईमेल बदल गया है। जारी रखने के लिए नीचे लॉग इन करें।,メールアドレスが変更されました。 続行するには、以下からログインしてください。
admin.alerts.oopsLostMsg,The page you are looking for was not found,Η σελίδα που ψάχνετε δεν βρέθηκε,De pagina die u zoekt is niet gevonden,La page que vous recherchez n'a pas été trouvée,Die gesuchte Seite wurde nicht gefunden,No se encontró la página que busca,La pagina che stai cercando non è stata trovata,A página que você está procurando não foi encontrada,Aradığınız sayfa bulunamadı,"Страницата, която търсите, не беше намерена","Страница, которую вы ищете, не найдена",आप जिस पेज की तलाश कर रहे हैं वह नहीं मिला,お探しのページは見つかりませんでした
admin.alerts.correctURLMsg,Please ensure the URL you have typed is correct,Βεβαιωθείτε ότι η διεύθυνση URL που πληκτρολογήσατε είναι σωστή,Zorg ervoor dat de URL die u hebt getypt correct is,Veuillez vous assurer que l'URL que vous avez saisie est correcte,"Bitte stellen Sie sicher, dass die eingegebene URL korrekt ist",Asegúrese de que la URL que ha escrito sea correcta,Assicurati che l'URL che hai digitato sia corretto,Verifique se o URL que você digitou está correto,Lütfen yazdığınız URL'nin doğru olduğundan emin olun,"Моля, уверете се, че URL адресът, който сте въвели, е правилен","Пожалуйста, убедитесь, что введенный вами URL правильный",कृपया सुनिश्चित करें कि आपने जो URL टाइप किया है वह सही है,入力されたURLが正しいかどうかご確認ください。
admin.alerts.problemMsg,Something went wrong,Υπήρξε κάποιο σφάλμα!,Er is iets fout gegaan,Quelque chose a mal tourné,Etwas ist schief gelaufen,Algo salió mal,Qualcosa è andato storto,Algo deu errado,Bir şeyler yanlış gitti,Нещо се обърка,Что-то пошло не так,कुछ गलत हो गया,エラーが発生しています
admin.alerts.pageUnavailable,Something unexpected happened,Κάτι πήγε λάθος,Er is iets onverwachts gebeurd,Quelque chose d'inattendu s'est produit,Es ist etwas Unerwartetes passiert,Algo inesperado sucedió,È successo qualcosa di inaspettato,Algo inesperado aconteceu,Beklenmedik bir şey oldu,Случи се нещо неочаквано,Случилось нечто неожиданное,कुछ अप्रत्याशित हुआ,予期しないエラー
admin.login.forgetPassword,Forgot password?,Ξέχασες τον κωδικό;,Wachtwoord vergeten?,mot de passe oublié?,Passwort vergessen?,¿Se te olvidó tu contraseña?,Ha dimenticato la password?,Esqueceu a senha?,Parolanızı mı unuttunuz?,Забравена парола?,забыл пароль?,पासवर्ड भूल गए?,パスワードをお忘れですか？
admin.login.noAccount,Don't have an account?,Δεν έχεις λογαριασμό;,Heb je geen account?,Vous n'avez pas de compte?,Sie haben noch keinen Konto?,¿No tienes una cuenta?,Non hai un account?,Não possui uma conta?,Hesabınız yok mu?,Нямате акаунт?,У вас нет аккаунта?,खाता नहीं है?,アカウントをお持ちではありませんか？
admin.login.signUp,SignUp,Εγγραφή,Aanmelden,S'inscrire,Anmelden,Regístrate,Iscriviti,Inscrever-se,Kaydol,Регистрирайте се,Подписаться,साइन अप करें,登録
admin.alerts.userInvitationSuccessfull,Your have been invited to manage store {{ storeName }}. Login below to continue.,Έχεις προσκληθεί για τη διαχείριση του καταστήματος{{storeName}}. Συνδέσου παρακάτω για συνέχεια.,Je bent uitgenodigd om winkel {{storeName}} te beheren. Log hieronder in om door te gaan.,Vous avez été invité à gérer le magasin {{storeName}}. Connectez-vous ci-dessous pour continuer.,"Sie wurden eingeladen, das Geschäft {{storeName}} zu verwalten. Melden Sie sich unten an, um fortzufahren.",Has sido invitado a administrar la tienda {{storeName}}. Inicie sesión a continuación para continuar.,Sei stato invitato a gestire il negozio {{storeName}}. Accedi di seguito per continuare.,Você foi convidado para gerenciar a loja {{storeName}}. Faça o login abaixo para continuar.,{{StoreName}} mağazasını yönetmeye davet edildiniz. Devam etmek için aşağıdan giriş yapın.,"Поканени сте да управлявате обект {{storeName}}. Влезте по-долу, за да продължите.","Вас пригласили управлять магазином {{storeName}}. Войдите ниже, чтобы продолжить.",आपको स्टोर {{storeName}} प्रबंधित करने के लिए आमंत्रित किया गया है। जारी रखने के लिए नीचे लॉग इन करें।,店舗{{storeName}}の管理に招待されました。 続行するには、以下からログインしてください。
admin.account.receiveEmailMsg,You will shortly receive an email to verify your account.,Θα λάβεις σύντομα ένα email για την επαλήθευση του λογαριασμού σου.,Je ontvangt binnenkort een e-mail om je account te verifiëren.,Vous recevrez sous peu un e-mail pour valider votre compte.,Sie erhalten in Kürze eine E-Mail zur Bestätigung Ihres Kontos.,En breve recibirá un correo electrónico para verificar su cuenta.,A breve riceverai un'email per verificare il tuo account.,"Em breve, você receberá um e-mail para verificar sua conta.",Hesabınızı doğrulamak için kısa süre içinde bir e-posta alacaksınız.,"Скоро ще получите e-mail, за да потвърдите акаунта си.",Вскоре вы получите электронное письмо для подтверждения вашей учетной записи.,आपको शीघ्र ही अपने खाते को सत्यापित करने के लिए एक ईमेल प्राप्त होगा।,アカウント確認のためのメールがまもなく届きます。
admin.account.profile,My profile,Το προφίλ μου,Mijn profiel,Changement de profil,Profiländerung,Cambio de perfil,Modifica profilo,Alteração de perfil,Profil,Промяна на профила,Изменение профиля,प्रोफाइल बदलें,私のプロフィール
admin.account.provideEmailMsg,Email,"Παρακαλώ, δώσε το email σου",Email,Veuillez fournir votre email,Bitte geben Sie Ihre E-Mail-Adresse an,Por favor proporcione su correo electrónico,Si prega di fornire la tua email,Forneça seu email,Email,"Моля, предоставете своя e-mail","Пожалуйста, укажите вашу электронную почту",कृपया अपना ईमेल प्रदान करें,メールアドレス
